personality,herbology,quidditch rank
0,1,511.89264
1,1,290.68973
3,1,447.24384
2,0,443.54858
1,0,325.7204
2,0,470.26962
2,0,544.28845
1,1,488.8165
1,0,384.56595
3,1,435.10507
3,1,474.5326
2,0,585.2763
3,0,446.4559
1,1,326.0053
3,1,454.63306
3,0,452.9075
3,1,448.6683
1,1,576.3849
0,0,285.45496
2,1,518.63556
0,0,570.5794
0,1,246.63118
0,1,608.7937
2,1,247.46558
1,0,533.8383
0,0,341.43698
2,1,274.49756
0,1,268.48248
0,1,264.08557
0,0,524.40894
2,1,461.48755
1,1,283.51862
0,1,582.0248
1,0,603.86707
3,1,442.23663
1,1,456.72345
0,0,297.61282
3,1,488.10022
0,0,483.25348
1,1,432.91425
1,1,465.92603
0,1,583.61865
1,0,273.48413
3,1,498.35016
1,1,288.064
3,1,482.1763
2,1,518.27704
2,0,577.66034
1,1,432.38654
2,1,461.67807
0,1,544.8094
3,1,469.03317
0,0,588.78906
2,1,439.4197
1,1,523.3838
3,1,418.26123
0,1,330.88446
1,0,309.4447
3,1,589.8116
0,0,320.79523
1,0,327.45026
0,0,558.38904
1,1,570.70074
3,1,543.3686
1,1,347.75208
3,0,551.901
0,1,419.03143
1,1,526.73065
2,0,582.24274
0,1,462.80768
3,0,507.6419
3,1,532.7914
3,1,447.1356
0,0,365.31772
0,0,545.2125
2,1,456.50647
2,0,597.86383
0,0,559.087
3,1,508.60568
0,0,567.133
1,0,591.35297
2,1,486.736
3,0,439.87326
1,1,600.9532
2,1,480.1226
2,1,250.89235
2,0,271.8631
3,0,463.5756
1,0,293.51102
3,1,569.96094
2,1,451.9267
1,1,450.07626
3,0,469.78445
1,0,613.38617
0,1,336.63754
1,1,581.02856
1,1,584.4952
0,0,604.4712
2,0,230.32025
1,0,268.077
0,1,535.3785
2,1,534.7659
1,1,309.30597
0,1,283.36633
3,1,432.45645
0,0,540.42303
1,0,342.80347
1,1,402.95502
1,1,415.1686
1,1,589.3067
2,0,306.90826
2,0,456.05475
1,1,322.7345
0,0,617.91205
2,0,325.32556
0,0,564.03784
2,1,451.92142
2,1,453.3876
2,1,430.94897
3,1,457.91177
2,1,478.6312
0,1,245.03003
1,0,590.92285
2,0,511.83215
0,1,591.21814
3,1,594.352
2,1,498.11975
0,0,242.85226
1,0,603.52124
1,0,602.92053
1,0,337.61404
0,0,571.0255
3,1,440.50528
2,1,511.79572
0,0,443.70947
1,0,582.3101
0,0,592.08435
2,0,560.2949
0,0,347.80725
1,0,248.62625
1,0,573.13727
0,1,462.96274
0,1,337.3781
0,1,371.46692
0,0,597.1019
0,0,239.70332
3,1,413.81747
2,0,596.8636
1,1,476.14984
1,0,291.85565
2,0,618.27106
1,1,560.348
2,1,458.8038
2,0,274.14816
1,1,341.52576
1,0,295.94476
3,1,454.9652
0,0,273.6835
1,1,579.7536
2,1,218.57602
2,1,469.14835
0,1,482.94913
1,1,461.69525
3,1,462.35587
3,1,569.3264
1,1,272.8672
0,1,516.6656
0,1,573.67706
1,0,540.1461
3,0,452.62015
3,0,596.9959
3,1,461.86133
0,1,294.05646
2,1,520.1437
3,1,439.48505
1,1,260.20932
1,1,471.4236
1,0,333.601
0,0,349.5796
2,0,554.31433
2,1,491.14124
0,1,460.3954
1,0,591.3403
2,0,584.42194
3,1,457.97336
2,1,454.53943
1,1,504.84528
0,1,584.4898
3,1,426.6468
1,1,532.94135
1,1,338.8507
2,1,548.6562
1,1,460.58847
1,0,584.189
2,0,239.58939
