house	personality	herbology	quidditch rank
3	0	1.0	511.89264
2	1	1.0	290.68973
1	3	1.0	447.24384
3	2	0.0	443.54858
2	1	0.0	325.7204
3	2	0.0	470.26962
0	2	0.0	544.28845
1	1	1.0	488.8165
2	1	0.0	384.56595
1	3	1.0	435.10507
1	3	1.0	474.5326
0	2	0.0	585.2763
1	3	0.0	446.4559
2	1	1.0	326.0053
1	3	1.0	454.63306
1	3	0.0	452.9075
1	3	1.0	448.6683
0	1	1.0	576.3849
2	0	0.0	285.45496
3	2	1.0	518.63556
0	0	0.0	570.5794
2	0	1.0	246.63118
0	0	1.0	608.7937
2	2	1.0	247.46558
0	1	0.0	533.8383
2	0	0.0	341.43698
2	2	1.0	274.49756
2	0	1.0	268.48248
2	0	1.0	264.08557
0	0	0.0	524.40894
3	2	1.0	461.48755
2	1	1.0	283.51862
0	0	1.0	582.0248
0	1	0.0	603.86707
1	3	1.0	442.23663
3	1	1.0	456.72345
2	0	0.0	297.61282
1	3	1.0	488.10022
3	0	0.0	483.25348
1	1	1.0	432.91425
1	1	1.0	465.92603
0	0	1.0	583.61865
2	1	0.0	273.48413
1	3	1.0	498.35016
2	1	1.0	288.064
1	3	1.0	482.1763
3	2	1.0	518.27704
0	2	0.0	577.66034
3	1	1.0	432.38654
3	2	1.0	461.67807
3	0	1.0	544.8094
1	3	1.0	469.03317
0	0	0.0	588.78906
3	2	1.0	439.4197
3	1	1.0	523.3838
1	3	1.0	418.26123
2	0	1.0	330.88446
2	1	0.0	309.4447
0	3	1.0	589.8116
2	0	0.0	320.79523
2	1	0.0	327.45026
0	0	0.0	558.38904
0	1	1.0	570.70074
3	3	1.0	543.3686
2	1	1.0	347.75208
0	3	0.0	551.901
1	0	1.0	419.03143
3	1	1.0	526.73065
0	2	0.0	582.24274
3	0	1.0	462.80768
3	3	0.0	507.6419
3	3	1.0	532.7914
1	3	1.0	447.1356
2	0	0.0	365.31772
0	0	0.0	545.2125
1	2	1.0	456.50647
0	2	0.0	597.86383
0	0	0.0	559.087
1	3	1.0	508.60568
0	0	0.0	567.133
0	1	0.0	591.35297
1	2	1.0	486.736
1	3	0.0	439.87326
0	1	1.0	600.9532
1	2	1.0	480.1226
2	2	1.0	250.89235
2	2	0.0	271.8631
1	3	0.0	463.5756
2	1	0.0	293.51102
0	3	1.0	569.96094
1	2	1.0	451.9267
3	1	1.0	450.07626
3	3	0.0	469.78445
0	1	0.0	613.38617
2	0	1.0	336.63754
0	1	1.0	581.02856
0	1	1.0	584.4952
0	0	0.0	604.4712
2	2	0.0	230.32025
2	1	0.0	268.077
0	0	1.0	535.3785
3	2	1.0	534.7659
2	1	1.0	309.30597
2	0	1.0	283.36633
1	3	1.0	432.45645
3	0	0.0	540.42303
2	1	0.0	342.80347
3	1	1.0	402.95502
3	1	1.0	415.1686
0	1	1.0	589.3067
2	2	0.0	306.90826
1	2	0.0	456.05475
2	1	1.0	322.7345
0	0	0.0	617.91205
2	2	0.0	325.32556
0	0	0.0	564.03784
1	2	1.0	451.92142
1	2	1.0	453.3876
3	2	1.0	430.94897
1	3	1.0	457.91177
1	2	1.0	478.6312
2	0	1.0	245.03003
0	1	0.0	590.92285
3	2	0.0	511.83215
0	0	1.0	591.21814
3	3	1.0	594.352
1	2	1.0	498.11975
2	0	0.0	242.85226
0	1	0.0	603.52124
0	1	0.0	602.92053
2	1	0.0	337.61404
0	0	0.0	571.0255
1	3	1.0	440.50528
3	2	1.0	511.79572
1	0	0.0	443.70947
0	1	0.0	582.3101
0	0	0.0	592.08435
3	2	0.0	560.2949
2	0	0.0	347.80725
2	1	0.0	248.62625
0	1	0.0	573.13727
3	0	1.0	462.96274
2	0	1.0	337.3781
2	0	1.0	371.46692
0	0	0.0	597.1019
2	0	0.0	239.70332
