eye_angle,eye_lashes,eye_lid,chin_length,eyebrow_weight,eyebrow_shape,eyebrow_thickness,face_shape,facial_hair,hair,eye_color,face_color,hair_color,glasses,glasses_color,eye_slant,eyebrow_width,eye_eyebrow_distance,filename
 1,0,0,1,1,1,0,3,14,87,2,4,2,11,5,0,1,1,cs10571477962556972748.csv
 1,1,1,1,1,11,3,4,14,37,3,3,6,11,6,0,0,1,cs1095648866193362889.csv
 1,1,1,0,0,6,3,5,7,108,0,0,4,4,3,0,1,0,cs10427326072037739745.csv
 2,0,1,2,0,3,1,4,14,37,2,7,0,8,5,1,1,2,cs10419454717692364619.csv
 1,0,1,2,0,4,1,3,14,4,4,10,6,11,5,0,1,0,cs10423413340727302718.csv
 1,1,1,0,1,2,1,1,12,10,4,10,1,11,1,0,0,0,cs10731704899953541951.csv
 0,1,0,1,1,4,2,5,1,109,3,3,6,11,6,0,2,2,cs10109690760791567489.csv
 1,0,1,0,0,13,2,0,14,101,3,6,6,11,3,1,2,2,cs10950449006388524542.csv
 2,0,1,1,0,5,3,4,3,99,1,6,7,11,2,2,2,2,cs10576501076907220669.csv
 1,0,1,0,0,0,0,5,9,77,4,3,9,11,2,0,1,1,cs10053218852733547362.csv
 1,0,0,0,0,10,3,0,14,12,2,3,2,9,5,2,2,2,cs10469732088113614676.csv
 1,1,0,0,1,13,3,1,0,38,1,10,8,11,5,2,1,0,cs1094324885783271045.csv
 2,1,1,2,0,6,2,2,14,2,2,4,6,11,0,1,0,2,cs11446097223515816222.csv
 0,1,1,1,0,3,2,6,2,59,0,8,1,11,6,2,0,2,cs11042307511303860374.csv
 0,0,0,1,0,0,0,5,14,74,2,1,9,11,6,2,0,0,cs10449088378174635937.csv
 2,0,1,1,1,4,3,2,10,10,4,3,2,11,1,1,0,1,cs1037400713690017070.csv
 0,0,1,2,0,1,1,3,14,32,3,10,9,10,3,0,0,0,cs1086904008241646635.csv
 0,0,0,2,1,6,1,1,14,32,3,3,0,11,4,0,0,1,cs11359530262540163353.csv
 2,1,0,1,0,5,1,6,6,70,1,0,6,1,6,2,1,0,cs10104630254893885737.csv
 1,1,1,2,1,13,1,1,3,73,3,2,7,3,1,0,1,0,cs11027854170028178060.csv
 1,1,0,1,1,6,1,4,10,24,2,2,3,11,5,2,1,2,cs10317038593777694655.csv
 1,1,0,0,0,2,1,0,14,110,1,2,8,11,6,2,2,2,cs10024474140465834744.csv
 2,1,1,1,0,0,2,1,9,11,1,1,2,11,0,2,2,1,cs10016447215310302288.csv
 1,1,1,1,1,11,1,5,12,18,0,6,9,7,6,1,0,0,cs11094968404010812457.csv
 1,1,1,0,0,8,3,5,14,38,1,8,6,2,4,1,2,0,cs10544058584956388374.csv
 0,0,1,0,1,1,1,0,13,79,2,0,6,11,1,1,0,2,cs10749975560608697670.csv
 0,1,0,0,0,7,0,1,14,53,1,2,6,11,1,2,0,0,cs1093499304133911464.csv
 2,0,1,2,0,1,0,5,14,51,4,2,7,11,4,0,1,2,cs10328629135328476766.csv
 1,1,0,1,0,8,1,0,8,37,3,3,4,11,4,1,2,2,cs1104856825326826851.csv
 2,0,0,2,0,1,1,1,14,16,4,4,6,6,1,0,1,1,cs10506322178358988696.csv
 0,0,0,2,1,11,0,4,12,39,1,9,1,11,0,1,2,0,cs10420786341353873222.csv
 2,1,0,1,1,9,0,1,0,100,2,7,0,11,5,2,2,1,cs10953229213181130650.csv
 2,1,1,0,1,6,3,1,2,20,0,1,4,9,0,2,2,1,cs11122806958791204566.csv
 1,0,0,2,1,6,0,4,11,54,3,8,3,11,6,2,1,2,cs1092566490289027317.csv
 2,1,0,1,1,8,1,1,14,108,0,3,4,4,0,2,1,2,cs11449924259820569380.csv
 1,1,0,2,0,4,0,4,14,81,1,9,7,2,3,0,2,2,cs1047314533842981797.csv
 0,0,0,2,1,12,2,1,0,32,1,10,2,11,6,2,1,0,cs10599164247064894606.csv
 1,0,1,2,0,9,1,0,14,70,4,3,7,9,4,2,1,0,cs10117043119431018073.csv
 0,1,1,0,1,13,3,1,0,11,3,8,4,9,4,2,1,0,cs11387196418238495910.csv
 2,1,0,2,0,8,1,5,13,40,1,8,3,11,1,0,2,0,cs1041658646643470663.csv
 1,1,0,0,1,7,1,6,14,6,4,8,9,11,0,2,0,0,cs11328111054479305364.csv
 0,1,1,0,1,8,2,6,9,90,1,3,6,11,1,2,1,1,cs11284904669704848490.csv
 1,0,1,0,1,4,2,2,14,26,0,6,3,11,5,0,0,1,cs10952180602675998559.csv
 0,1,1,0,0,13,1,5,14,40,4,0,3,2,0,2,2,1,cs11495831527740017327.csv
 2,0,0,0,1,2,1,4,14,36,4,5,6,0,4,0,2,0,cs10850281174528892490.csv
 1,1,0,2,0,12,1,1,8,52,4,10,7,11,2,2,2,2,cs10356792520746145705.csv
 2,0,1,1,0,9,0,3,3,9,0,6,0,1,6,2,0,1,cs10239768073729021756.csv
 1,0,0,0,0,6,3,5,14,22,0,10,7,11,3,1,2,2,cs11080854515375267256.csv
 2,1,1,1,1,3,1,2,14,48,3,10,9,11,5,1,2,2,cs10597197448223626084.csv
 0,0,0,1,1,4,0,0,6,59,3,4,5,3,6,0,0,0,cs10612420659165723812.csv
 2,1,0,1,1,1,1,2,14,42,4,4,0,2,5,0,1,0,cs10335838804196865860.csv
 0,0,1,1,1,4,0,1,14,66,4,10,6,0,2,1,0,0,cs10427643697061571007.csv
 0,0,0,0,0,0,1,5,14,7,3,0,2,7,1,2,1,0,cs11275713510088886881.csv
 2,1,0,0,0,11,3,2,1,84,4,7,1,6,5,0,1,2,cs11294240121703758730.csv
 0,1,1,0,1,4,1,3,14,2,3,7,1,8,0,1,1,2,cs10015347669269020684.csv
 0,1,1,0,1,1,2,1,5,88,2,9,4,11,1,2,0,0,cs10236171676978249648.csv
 1,0,0,2,0,5,0,5,14,92,0,6,3,11,1,1,1,1,cs1019340011008472299.csv
 0,0,1,2,0,13,1,2,13,47,2,2,1,0,1,2,0,2,cs10350713456390262823.csv
 1,1,0,0,0,7,1,6,14,66,2,8,0,5,4,1,0,1,cs10740872581046720957.csv
 1,1,1,1,0,7,1,4,14,56,4,8,0,11,3,0,1,0,cs11428046110105267525.csv
 1,0,0,0,0,11,3,1,14,16,2,2,0,11,2,1,0,1,cs10734419732371447923.csv
 0,0,0,1,0,4,1,1,14,47,0,7,4,11,0,0,2,0,cs10137877364699937151.csv
 2,1,1,0,1,6,0,2,9,38,2,10,2,11,2,2,2,0,cs11383367345167129810.csv
 0,0,0,2,1,1,1,0,4,22,2,10,0,10,3,0,1,0,cs11214879513621249855.csv
 1,1,0,2,0,1,3,2,11,67,4,2,1,3,5,0,0,1,cs10740055015012838718.csv
