eye_angle,eye_lashes,eye_lid,chin_length,eyebrow_weight,eyebrow_shape,eyebrow_thickness,face_shape,facial_hair,hair,eye_color,face_color,hair_color,glasses,glasses_color,eye_slant,eyebrow_width,eye_eyebrow_distance,filename
1,0,0,1,1,1,0,3,14,87,2,4,2,11,5,0,1,1,cs10571477962556972748.csv
1,1,1,1,1,11,3,4,14,37,3,3,6,11,6,0,0,1,cs1095648866193362889.csv
1,0,1,2,0,4,1,3,14,4,4,10,6,11,5,0,1,0,cs10423413340727302718.csv
0,1,0,1,1,4,2,5,1,109,3,3,6,11,6,0,2,2,cs10109690760791567489.csv
1,0,1,0,0,13,2,0,14,101,3,6,6,11,3,1,2,2,cs10950449006388524542.csv
2,1,1,2,0,6,2,2,14,2,2,4,6,11,0,1,0,2,cs11446097223515816222.csv
0,0,0,1,0,0,0,5,14,74,2,1,9,11,6,2,0,0,cs10449088378174635937.csv
0,0,0,2,1,6,1,1,14,32,3,3,0,11,4,0,0,1,cs11359530262540163353.csv
2,1,0,1,0,5,1,6,6,70,1,0,6,1,6,2,1,0,cs10104630254893885737.csv
1,1,0,0,0,2,1,0,14,110,1,2,8,11,6,2,2,2,cs10024474140465834744.csv
0,1,0,0,0,7,0,1,14,53,1,2,6,11,1,2,0,0,cs1093499304133911464.csv
2,0,1,2,0,1,0,5,14,51,4,2,7,11,4,0,1,2,cs10328629135328476766.csv
1,1,0,0,1,7,1,6,14,6,4,8,9,11,0,2,0,0,cs11328111054479305364.csv
1,0,1,0,1,4,2,2,14,26,0,6,3,11,5,0,0,1,cs10952180602675998559.csv
1,0,0,0,0,6,3,5,14,22,0,10,7,11,3,1,2,2,cs11080854515375267256.csv
2,1,1,1,1,3,1,2,14,48,3,10,9,11,5,1,2,2,cs10597197448223626084.csv
1,0,0,2,0,5,0,5,14,92,0,6,3,11,1,1,1,1,cs1019340011008472299.csv
1,1,1,1,0,7,1,4,14,56,4,8,0,11,3,0,1,0,cs11428046110105267525.csv
1,0,0,0,0,11,3,1,14,16,2,2,0,11,2,1,0,1,cs10734419732371447923.csv
0,0,0,1,0,4,1,1,14,47,0,7,4,11,0,0,2,0,cs10137877364699937151.csv
2,0,0,2,1,10,0,5,14,33,3,6,1,11,1,2,0,2,cs10847736389679543123.csv
1,1,0,0,1,3,3,5,14,50,2,2,5,11,0,2,1,2,cs11460673368981850751.csv
1,1,1,0,1,5,1,1,14,49,1,10,4,11,6,0,1,1,cs10420639762954660636.csv
1,0,0,0,1,13,3,5,14,78,3,2,7,11,5,0,1,0,cs10549784346317018039.csv
2,0,1,2,1,9,2,1,14,91,4,5,0,11,1,2,0,0,cs11479212807517456013.csv
2,0,1,2,0,9,0,4,14,67,1,9,5,11,5,0,1,0,cs10104212655563215271.csv
2,1,0,1,1,6,2,5,14,55,3,2,4,11,5,0,1,2,cs10260260226810328106.csv
1,0,0,0,1,0,1,6,7,89,2,8,6,11,4,1,1,0,cs11365630194310527040.csv
1,0,0,0,1,9,2,5,1,47,1,7,3,11,6,2,0,2,cs10580105703201432277.csv
2,0,0,2,1,11,3,5,14,18,3,5,3,11,6,1,2,1,cs10421807512813239182.csv
2,0,0,0,0,9,3,1,14,23,2,9,1,11,4,0,1,1,cs10903575820649603685.csv
0,1,1,0,0,3,0,0,14,40,4,6,9,11,3,1,0,2,cs11189003965941384915.csv
1,1,0,1,0,12,0,3,14,82,0,10,2,11,4,1,0,0,cs11484965662281874328.csv
2,0,1,1,1,8,2,5,14,16,4,0,3,11,3,1,0,2,cs10920179899346830240.csv
1,1,1,1,0,6,0,0,14,36,0,8,3,1,2,0,1,0,cs10103073956764216899.csv
2,0,0,0,0,6,0,0,14,110,1,6,7,11,2,1,2,0,cs10369106970588780254.csv
2,0,1,2,0,12,3,1,14,91,4,7,1,11,0,0,1,2,cs10424529986852004368.csv
2,1,1,1,0,11,2,4,14,27,3,4,6,11,1,1,1,1,cs11494233981598861698.csv
1,0,1,2,0,11,2,4,14,31,4,0,6,11,1,0,0,0,cs10892334768665502812.csv
0,1,1,1,1,9,1,3,14,52,0,1,7,1,1,0,2,1,cs10621785391748364082.csv
0,1,1,0,1,4,1,0,14,47,1,3,7,11,2,1,2,1,cs10385050300231261405.csv
2,0,1,2,0,13,1,5,14,8,4,5,6,11,6,1,2,0,cs1121937692635012534.csv
0,1,1,1,0,3,3,1,6,22,3,5,7,11,2,1,0,0,cs1140030923204285673.csv
0,1,0,2,1,5,3,3,1,76,2,0,2,11,2,0,0,0,cs10000849938093558363.csv
0,1,1,0,0,0,0,0,14,5,3,6,1,11,5,1,1,0,cs10649615822661395401.csv
1,0,0,1,1,12,1,4,7,13,0,5,1,1,4,1,1,2,cs10886631840715272356.csv
2,1,1,1,0,2,0,5,14,35,1,2,8,11,4,0,1,2,cs10482027638548795361.csv
0,1,0,2,1,6,3,4,14,27,1,3,1,1,5,0,1,0,cs10644434576756698640.csv
0,1,0,1,0,4,2,6,6,1,4,8,2,11,0,0,0,2,cs10906505077784216976.csv
2,0,0,0,1,13,2,6,14,29,1,9,5,11,2,0,2,2,cs11374421300817485775.csv
2,1,1,0,0,9,1,1,14,63,2,3,4,11,6,0,2,1,cs10503662069087736539.csv
0,1,1,2,1,8,0,3,6,45,0,9,7,11,0,0,0,1,cs10658511391471987116.csv
1,0,0,2,1,4,3,0,7,87,0,2,9,11,2,1,0,2,cs11204812646722570651.csv
2,0,1,1,1,0,3,5,14,71,3,0,3,11,2,0,0,2,cs10394632471338803304.csv
2,1,0,1,0,11,2,6,14,35,3,9,1,11,2,2,0,0,cs10640581976038269296.csv
2,1,1,2,1,11,2,5,14,80,1,7,4,11,4,0,2,1,cs10143072648851449553.csv
2,1,0,0,1,8,1,3,14,22,1,9,9,11,0,2,0,0,cs10188066247527690860.csv
0,0,0,0,1,4,3,5,7,90,3,1,4,11,0,1,0,2,cs1063014172876429666.csv
2,1,0,1,1,6,2,1,14,108,4,8,2,11,1,2,0,2,cs10611208682868484005.csv
0,1,1,2,1,12,2,5,14,6,1,9,3,1,1,0,0,1,cs11080419261594560370.csv
0,0,0,2,0,1,0,6,14,58,1,6,1,11,0,2,2,2,cs11119063232546080277.csv
0,1,0,0,0,9,3,6,14,6,2,5,2,11,2,1,0,0,cs11140549185003132717.csv
1,0,1,2,0,4,3,4,14,34,3,10,2,11,2,2,2,2,cs10728331367869465424.csv
1,0,0,1,0,10,1,2,14,14,1,2,3,11,0,1,0,2,cs11097080959729893962.csv
2,0,0,0,0,1,0,5,14,4,4,3,6,11,4,0,0,0,cs10324215778621711640.csv
1,1,0,1,0,12,2,1,14,90,3,1,2,11,6,1,0,0,cs10188993307953824858.csv
