facial_hair,face_color,glasses,filename
0,3,0,cs10720998461143652152.csv
0,0,0,cs10628975123393876368.csv
0,7,0,cs10222644402131132914.csv
0,8,0,cs10673016635549268120.csv
0,5,0,cs11060902747572626569.csv
0,5,0,cs10989014542830188695.csv
0,6,0,cs10782470436643152056.csv
0,1,0,cs11104105711413633583.csv
0,5,0,cs1021152103259508515.csv
0,1,0,cs10162648298374598848.csv
0,9,0,cs10341209476615631206.csv
0,7,0,cs11023719449190652729.csv
0,8,0,cs10897307451666605701.csv
0,7,0,cs10360410136247779705.csv
0,2,0,cs11070935139138525545.csv
0,5,0,cs11222996907802859862.csv
0,1,0,cs10804256839167542978.csv
0,0,0,cs11352424859682552542.csv
0,3,0,cs11164273269605625623.csv
0,1,0,cs1036109025256461570.csv
0,8,0,cs10557850366034182349.csv
0,0,0,cs11428280530736905593.csv
0,1,0,cs10680524531727199201.csv
0,1,0,cs1095753224845077729.csv
0,5,0,cs11472613624996155194.csv
0,7,0,cs10114070145971627586.csv
0,2,0,cs10226799080435290389.csv
0,7,0,cs10749380271098138489.csv
0,1,0,cs10272194954636154865.csv
0,4,0,cs11052828373222159272.csv
0,3,0,cs10840928197061531541.csv
0,4,0,cs11471784904293827331.csv
0,3,0,cs10900464673569586981.csv
0,0,0,cs1014402452433879920.csv
0,2,0,cs10757362374146439820.csv
0,1,0,cs113270871606642660.csv
0,3,0,cs1078328696093056818.csv
0,1,0,cs10565439952227912503.csv
0,9,0,cs10720330844391424113.csv
0,0,0,cs10102480951712981478.csv
0,9,0,cs10751877515997413139.csv
0,8,0,cs10997953094001383760.csv
0,5,0,cs10569842567955860200.csv
0,1,0,cs111464773118169668.csv
0,3,0,cs1020003956617799648.csv
0,5,0,cs11322927741940757223.csv
0,5,0,cs1044608986642655879.csv
0,7,0,cs10093494963243352263.csv
0,7,0,cs10027165526405979994.csv
0,8,0,cs10416822717084193084.csv
0,5,1,cs1043712748331193530.csv
0,4,1,cs11050345899386540988.csv
0,6,1,cs1003719079133541301.csv
0,9,1,cs11298760944539041467.csv
0,3,1,cs10022900832800133147.csv
0,0,1,cs10373674238389630859.csv
0,2,1,cs11412527572048142553.csv
0,3,1,cs10877891782499950419.csv
0,9,1,cs10907151380698170289.csv
0,9,1,cs10189317585052974991.csv
0,3,1,cs10888320696227496945.csv
0,3,1,cs10510653387980515990.csv
0,1,1,cs11265723927602677926.csv
0,7,1,cs10637041650966578111.csv
0,7,1,cs10799268448640723689.csv
0,4,1,cs10501922393764180689.csv
0,9,1,cs11132915529795678766.csv
0,2,1,cs10886537263642660234.csv
0,3,1,cs11012554940374485914.csv
0,0,1,cs11085872369128119173.csv
0,0,1,cs10464258397605423624.csv
0,2,1,cs11292627666970104411.csv
0,0,1,cs10231371923589184801.csv
0,8,1,cs10686090891098580149.csv
0,7,1,cs11033533455197473334.csv
0,0,1,cs10026285113990096267.csv
0,5,1,cs10357918821903199737.csv
0,9,1,cs10197669886458657416.csv
0,9,1,cs10995505758545647542.csv
0,8,1,cs1108527716788089552.csv
0,7,1,cs10400232370656864384.csv
0,4,1,cs10258299130198470107.csv
0,8,1,cs11059598356122616964.csv
0,4,1,cs10068754346360010256.csv
0,5,1,cs10505423446033972537.csv
0,5,1,cs11251350326461413124.csv
0,1,1,cs11353922047239823269.csv
0,5,1,cs11114770170276245851.csv
0,0,1,cs11380025015742357848.csv
0,5,1,cs11362494115355220117.csv
0,0,1,cs11211896980402287906.csv
0,5,1,cs10076735229198178046.csv
0,6,1,cs10688538465393334503.csv
0,4,1,cs10270141470057865094.csv
0,9,1,cs10597590321342311603.csv
0,2,1,cs10494236541100855732.csv
0,3,1,cs10468520046306474897.csv
0,2,1,cs10306603921547503043.csv
0,5,1,cs1137344305685427564.csv
0,10,1,cs11365562154569084420.csv
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
